hortari hortor hortatus sum	auffordern, ermahnen
intellegere intellego intellexi intellectum	merken, bemerken, verstehen
mittere mitto misi missum	lassen, loslassen, schicken, werfen
patrius a um	heimisch, väterlich
cingere cingo cinxi cinctum	umgeben, umzingeln
vester a um	euer
ignorare ignoro	nicht kennen, nicht wissen
conficere conficio confeci confectum	fertig machen, beenden
dolus	List, Täuschung
auctoritas auctoritatis f	Ansehen, Einfluss, Macht
curare curo (+akk)	pflegen, sorgen für, besorgen
ducere (+dopp akk)	halten für
temperare tempero (a a+abl)	sich fernhalten von
supremus a um	der höchste, der letzte, der oberste
mare maris n	Meer
puella	Mädchen, Freundin
salus salutis f	Gesundheit, Glück, Rettung, Gruss
legatus	Bevollmächtigter, Gesandter
perire pereo perii periturum	zugrunde gehen
diligens diligentis	gewissenhaft, sorgfältig
femina	Frau
spatium	Raum, Strecke, Zeit, Zeitraum
ferre fero tuli latum	bringen, tragen, ertragen
plebs plebis f	einfaches Volk, Volk
accidere accido accidi	geschehen, sich ereignen
supra	darüber hinaus, oben
aut...aut	entweder...oder
circumdare circumdo circumdedi circumdatum	umgeben
tectum	Dach, Haus
nefarius a um	gottlos, verbrecherisch
comprehendere comprehendo comprehendi comprehensum	begreifen, ergreifen, festnehmen
exercere exerceo	üben, trainieren, quälen
necare neco	töten
dum (+subj +konj)	wenn nur
suspicari suspicor	vermuten
dos dotis f	Mitgift
amicus	Freund, politischer Anhänger
legere lego legi lectum	lesen, auswählen
libens libentis	gern
venia	Gefallen, Nachsicht, Verzeihung
nisi	wenn nicht
sumere sumo sumpsi sumptum	nehmen
tu	du
felix felicis	erfolgreich, glückbringend, glücklich
saeculum	Jahrhundert, Menschenalter, Zeit, Zeitalter
