apud (+akk)	bei, nahe bei
dicere (+dopp akk)	nennen, benennen
triginta	dreissig
egredi egredior egressus sum	herausgehen, verlassen
scribere scibo scipsi scriptum	beschreiben, schreiben
item	ebenso, gleichfalls
iudicium	Gericht, Urteil
non	nicht
laudare laudo	loben
arbitrari arbitror arbitratus sum	glauben, meinen
quamquam (+hauptsatz)	freilich
ratio rationis f	Grund, Vernunft, Überlegung, Art und Weise, Berechnung
perficere perficio perfeci perfectum	erreichen, fertig stellen, vollenden
praebere praebeo	geben, hinhalten
crimen criminis n	Beschuldigung, Vorwurf, Verbrechen
tandem (im fragesatz)	denn eigentlich
seu, sive	oder, oder wenn
exire exeo exii	herausgehen
princeps principis m	der Erste, der führende Mann
polliceri polliceor pollicitus sum	versprechen
servus	Diener, Sklave
virgo virginis f	Mädchen
inducere induco induxi inductum	einführen, hineinführen, verleiten
adventus adventus m	Ankunft
satis	genug
tradere trado tradidi traditum	übergeben, überliefern
permovere permoveo permovi permotum	beunruhigen, veranlassen
incolumis e	unverletzt, wohlbehalten
iter itineris n	Reise, Marsch, Weg
civitas civitatis f	Gemeinde, Staat, Bürgerrecht
amittere amitto amisi amissum	aufgeben, verlieren
bibere bibo bibi	trinken
qui quae quod	welcher welche welches, der die das, dieser diese dieses
quaerere (ex/de +abl)	jmd fragen
improbus a um	schlecht, unanständig
protinus	sofort
claudere claudo clausi clausum	abschliessen, einschliessen
verbum	Wort, Äusserung
tollere tollo sustuli sublatum	aufheben, in die Höhe heben, wegnehmen
non modo...sed etiam	nicht nur...sondern auch
numen numinis n	Gottheit, göttlicher Wille
conducere conduco conduxi conductum	zusammenführen, anwerben, mieten
captivus a um	gefangen, Kriegsgefangener
summus a um	der höchste, der letzte, der oberste
rus ruris n	Feld, Land, Landgut
