culpa	Schuld
equitatus equitatus m	Reiterei
consulere consulo consului consultum (+akk)	um Rat fragen
emere emo emi emptum	kaufen
os oris n	Gesicht, Mund
libido libidinis f (+gen)	heftiges Verlangen nach, Lust, Willkür
interesse (+dat)	teilnehmen
ire eo ii itum	gehen
intra (+akk)	innerhalb von
historia	Forschung, Geschichtsschreibung
perdere perdo perdidi perditum	verlieren, verschwenden, zugrunde richten
subire subeo subii subitum	auf sich nehmen, herangehen
barbarus a um	ausländisch, unzivilisiert
laborare laboro	sich anstrengen, arbeiten
igitur	also, folglich
consulere (+dat)	sorgen für
caedes caedis f	Blutbad, Mord
templum	heiliger Ort, Tempel
ruere ruo rui ruiturum	eilen, stürmen, stürzen
nos (akk)	uns
ut (+subj +ind)	sobald, sooft
proximus a um	der nächste
capere capio cepi captum	fassen, nehmen, erobern
proelium	Kampf, Schlacht
lacus lacus m	See, Teich
auris auris f	Ohr
consumere consumo consumpsi consumptum	verbrauchen, verwenden
orare oro	bitten
etsi	auch wenn, obwohl
quando	wann
decem	zehn
praeterire praetereo praeterii praeteritum	übergehen, vorbeigehen
aureus a um	golden
interim	inzwischen
spargere spargo sparsi  sparsum	ausstreuen, bespritzen, vorbereiten
fortuna	Glück, Schicksal
subito	plötzlich
tantus a um	so gross, so viel
quicumque quaecumque quodcumque	wer auch immer
movere moveo movi motum	bewegen
is ea id (ius i)	er sie es
quisque quaeque quodque	jeder
facilis e	leicht, leicht zu tun
qualis e	wie, wie beschaffen
propius	näher
