fere	beinahe, fast, ungefähr
adversus (+akk)	gegen, entgegen
vindicare (in +akk)	vorgehen gegen
tenebrae tenebrarum	Dunkelheit, Finsternis
sidus sideris n	Stern, Sternbild
ceterum	übrigens
centum	hundert
copia	Menge, Möglichkeit, Vorrat
inferre infero intuli illatum	hineintragen, zufügen
gloria	Ehre, Ruhm
sex	sechs
non iam	nicht mehr
scilicet	freilich, natürlich, selbstverständlich
conari conor conatus sum	versuchen
haud	nicht
deinde	dann, darauf
spiritus spiritus m	Atem, Seele
argentum	Silber
posse possum potui	können
aurum	Gold
potior potioris	besser, wichtiger
bonum	das Gute, das Gut
obsecrare obsecro	anflehen, bitten
supplicium	flehentliches Bitten, Hinrichtung, Strafe
imperare impero (+dat)	befehlen, herrschen, herrschen über
flectere flecto flexi flexum	biegen, hinlenken, lenken, umstimmen
aequor aequoris n	Ebene, Fläche, Meer
antea	vorher, früher
interest (+gen)	es ist wichtig für
tertius a um	der dritte
indignus a um (+abl)	unwürdig
pectus pectoris n	Brust, Herz
utinam	hoffentlich, wenn doch
fides fidei f	Glaube, Treue, Vertrauen, Zuverlässigkeit
hiems hiemis f	Winter, Unwetter
provincia	Provinz
vix	kaum, nur mit Mühe, mit Mühe
crudelis e	grausam
inferi inferorum	Bewohner der Unterwelt, Unterwelt
sacrum	Heiligtum, Opfer
infelix infelicis	unglücklich
hostis hostis m	Feind, Landesfeind
possidere possideo possedi possessum	besitzen
onus oneris n	Last
reprehendere reprehendo reprehendi reprehensum	wieder aufgreifen
