idoneus a um	geeignet, passend
palam	bekannt, in aller Öffentlichkeit
moliri molior molitus sum	antreiben, treiben, planen, unternehmen
prope	nahe, beinahe
classis classis f	Abteilung, Flotte
perpetuus a um	dauerhaft, ewig
nescire nescio nescivi	nicht wissen
cessare cesso	rasten, zögern
dextera	die Rechte
producere produco produxi productum	vorführen, führen
promittere promitto promisi promissum	versprechen
commodus a um	angemessen, angenehm, günstig
unus (ex/de +abl)	einer von
appellare apello (+doppelter akk)	nennen
noscere nosco novi notum	erkennen, kennen lernen
paene	fast
umquam	jemals
accedere accedo accessi accessum(+ad akk)	herbeikommen, hinzukommen
bene	gut
quod (+subj +ind)	dass, weil
flamma	Feuer, Flamme
condicio condicionis f	Bedingung, Lage, Verabredung
narrare narro	erzählen
donum	Geschenk
dominus	Hausherr, Herr
adulescens adulescentis	jung, junger Mann
commovere commoveo commovi commotum	bewegen, veranlassen
incendium	Brand, Feuer
nudus a um	nackt
iste ista istud (ius i)	dieser, dieser da
nunc	jetzt, nun
imprimis	besonders, vor allem
universi ae a	alle, alle zusammen
insidiae insidiarum	Falle, Attentat, Hinterlist
pes pedis m	Fuss
sceleratus a um	verbrecherisch, schädlich, Verbrecher
species speciei f	Anblick, Aussehen, Schein
meminisse (+aci)	daran denken
quisquis quaequae quidquid/quicquid	jeder, der
nata	Tochter
deesse desum defui defuturum	abwesend sein, fehlen
sollicitare sollicito	aufhetzen, beunruhigen, erregen
campus	Feld, freier Platz
deserere desero deserui desertum	im Stich lassen, verlassen
merces mercedis f	Lohn
