avertere averto averti aversum	abwenden, vertreiben
invitus a um	ungern, gegen den Willen
studium	Beschäftigung, Engagement, Interesse
se recipere	sich zurückziehen
quippe	freilich
maturus a um	frühzeitig, zeitig, reif
multum	sehr, viel
potestas potestatis f	Amtsgewalt, Gewalt, Macht, Möglichkeit
cogitare cogito	beabsichtigen, denken
serus a um	spät, zu spät
litus litoris n	Küste, Strand
liberi liberorum	Kinder
forma	Form, Gestalt, Schönheit
opinari opinor	glauben, meinen
frater fratris m	Bruder
miser a um	arm, erbärmlich, unglücklich
lux lucis f	Licht, Tageslicht
universus a um	gesamt
ut (+subj +konj)	dass, sodass, damit, angenommen dass, wenn auch
luctus luctus m	Trauer
pervenire pervenio perveni perventum (ad/in +akk)	kommen zu, kommen nach
clamor clamoris m	Geschrei, Lärm
patres, patres conscripti	Senatoren
dividere divido divisi divisum	teilen, trennen
commodum	Bequemlichkeit
pote est	es ist möglich
regnum	Königsherrschaft, Herrschaft, Reich
ni	wenn nicht
orbis orbis m	Kreis, Kreislauf, Erdkreis, Welt
saevus a um	schrecklich, wild, wütend
gratus a um	dankbar, willkommen, beliebt
iuventus iuventutis f	Jugend
vos (akk)	euch
agere ago egi actum	handeln, treiben, verhandeln
precari precor	bitten
mirus a um	erstaunlich, wunderbar
manere (+akk)	warten auf
nam, namque	denn, nämlich
autem	aber, andererseits
pax pacis f	Frieden
errare erro	sich irren, irren
carere careo carui (+abl)	frei sein von, nicht haben
familiaris e	freundschaftlich, vertraut
superbus a um	stolz, überheblich
ergo	also, deshalb
