licentia	Freiheit, Willkür
quantus a um	wie gross, wie viel
fugere fugio fugi	fliehen, meiden
vestes	Kleider
laetus a um	froh, fruchtbar
equidem	ich allerdings, allerdings, freilich
aut	oder
circumvenire circumvenio circumveni circumventum	umringen, umzingeln
corrumpere corrumpo corrupi corruptum	bestechen, verderben
differre (a +abl)	sich unterscheiden von
amor amoris m	Liebe
aequus a um	eben, gerecht, gleich
pellere pello pepuli pulsum	schlagen, vertreiben
utrum	ob
sanguis sanguinis m	Blut
respondere respondeo respondi responsum	antworten, entsprechen
occultus a um	geheim, verborgen
prodere prodo prodidi proditum	überliefern, verraten
conscribere conscribo conscripsi conscriptum	aufschreiben, verfassen
versari versor	sich aufhalten, sich befinden
supplex supplicis	demütig bittend
frustra	vergeblich
littera	Buchstabe
tribunus	Militärtribun, Tribun
admittere admitto admisi admissum	hinzuziehen, zulassen
imperium	Befehl, Befehlsgewalt, Herrschaft, Herrschaftsgebiet
frangere frango fregi fractum	zerbrechen
opprimere opprimo oppressi oppressum	bedrohen, niederwerfen, unterdrücken
praetor praetoris m	Präteor
ne (im hauptsatz)	nicht
habere habeo	haben, halten
fines finium	Gebiet
praeterea	ausserdem
semper	immer
optare opto	wünschen
consulere (in +aci)	vorgehen gegen
decimus a um	der zehnte
metus metus m	Angst
gens gentis f	Familienverband, Stamm, Volk
intus	im Innern, innen
praesidium	Wachposten, Posten, Schutztruppe
laedere laedo laesi laesum	beschädigen, verletzen
audacia	Frechheit, Kühnheit
anima	Atem, Leben
-ne (im indir fragesatz)	ob
