ante (+akk)	vor
vivus a um	lebend, lebendig
pauper pauperis	arm
prex precis f	Bitte
occupatus a um (in +abl)	beschäftigt mit
avaritia	Geiz, Habsucht
omnes	alle
aes alienum	Schulden
ubi	wo
qui	wie
praeceps praecipitis	steil, schnell, überstürzt
pariter	ebenso, gleichzeitig
irasci irascor (+dat)	in Zorn geraten, zornig sein gegen
simul	gleichzeitig, zugleich, sobald
sinistra, sinistra manus	linke Hand
negotium	Aufgabe, Geschäft, Angelegenheit
constare consto constiti	kosten
placet (+dat)	es gefällt jmd, jmd beschliesst
decernere decerno decrevi decretum	beschliessen, entscheiden
confidere confido confisus sum	vertrauen
iniuria	Unrecht, Beleidigung
manus manus f	Hand, Schar
oculus	Auge
procul	von fern, weit weg
deferre defero detuli delatum	hinbringen, melden, übertragen
quamquam (+subj +ind)	obwohl
mons montis m	Berg
cur	warum
parcere parco peperci (+dat)	schonen, sparen
qua	wie, wohin, wo
foras	heraus, hinaus
sustinere sustineo sustinui	ertragen, standhalten
aqua	Wasser
incedere (+akk)	befallen
cupiditas cupiditatis f (+gen)	heftiges Verlangen nach, Leidenschaft
interea	inzwischen, unterdessen
nec...nec	weder...noch
petere peto petivi petitum	bitten, verlangen, suchen, aufsuchen, erstreben, streben
mos moris m	Sitte, Brauch
porta	Tor
urbs urbis f	Stadt, Hauptstadt
o, oh	ach, oh
cura	Pflege, Sorge
navis navis f	Schiff
turpis e	sittlich schlecht, schlecht, hässlich, schändlich
