abire abeo abii abitum	weggehen
parcus a um	sparsam
alienus a um	fremd
apertus a um	offen, offenkundig
salvus a um	gesund, unversehrt
recipere recipio recepi receptum	aufnehmen, wieder bekommen, zurücknehmen
vehemens vehementis	energisch, heftig
per (+akk)	durch, hindurch
liber libri m	Buch
et etiam	auch
vehere veho vexi vectum	fahren, tragen, ziehen
collum	Hals
vis (akk vim/abl vi)	Gewalt, Kraft, Menge
minor minoris	kleiner, geringer
suspicio suspicionis f	Verdacht, Vermutung
vivere vivo vixi victurum	leben
custos custodis m f	Wächter in
pergere pergo perrexi	aufbrechen, weitermachen
vitare vito	meiden, vermeiden
spes spei f	Erwartung, Hoffnung
sacer sacra sacrum (+gen)	geweiht, heilig
nobilis e	vornehm, adelig, berühmt
in (+abl)	in, an, auf, bei
instare insto institi	bevorstehen, hart zusetzen
eripere eripio eripui ereptum	entreissen
odisse odi (perf)	hassen
deferre defero detuli delatum	hinbringen, melden, übertragen
impedire impedio impedivi impeditum	hindern, verhindern
signum	Merkmal, Zeichen, Statue
consuescere consuesco consuevi consuetum	sich gewöhnen an
consuevisse	 gewohnt sein
diversus a um	entgegengesetzt, feindlich, verschieden
dies diei m	Tag
solere soleo solitus sum	gewohnt sein, gewöhnlich etwas tun
impius a um	gottlos, gewissenlos
positus a um	gelegen
nepos nepotis m	Enkel
minus	weniger
officium	Dienst, Pflicht, Pflichtgefühl
lumen luminis n	Licht, Auge
vincula	Gefängnis
facinus facinoris n	Handlung, Untat
secundus a um	der zweite, günstig
-num (im dir fragesatz)	etwa
reperire reperio repperi repertum	wiederfinden, finden
celer is e	schnell
