aestimare aestimo	einschätzen, beurteilen
visere viso visi visum	besichtigen, besuchen
carmen carminis n	Gedicht, Lied
vulgo	allgemein, gewöhnlich
restituere restituo restitui restitutum	wiederherstellen
praesertim cum	besonders da, besonders weil
damnare damno (+gen)	verurteilen wegen
fons fontis m	Quelle, Ursprung
murus	Mauer
turris turris f	Turm
forum	Forum, Marktplatz, Öffentlichkeit
latus lateris n	Flanke, Seite
collocare colloco	aufstellen, unterbringen
totus a um (ius i)	ganz
mors mortis f	Tod
occurrere occurro occurri	begegnen, entgegentreten
relinquere relinquo reliqui relictum	unbeachtet lassen, verlassen, zurücklassen
ob (+akk)	wegen, für
an (im dir fragesatz)	oder, oder etwa
vinculum	Band, Fessel
comes comitis m	Begleiter, Gefährte
cuncti ae a	alle, alle zusammen
postquam (+subj +ind)	nachdem, als
caedere caedo cecidi caesum	fällen, niederschlagen
remanere remaneo remansi	zurückbleiben, bleiben
malus a um	schlecht, schlimm
permittere permitto permisi permissum	erlauben, überlassen
ullus a um (ius i)	irgendeiner
corripere corripio corripui correptum	ergreifen, gewaltsam an sich reissen
rursus	wieder
spectare specto	betrachten, hinsehen, anstreben
agitare agito	betreiben, überlegen
fluctus fluctus m	Flut, Strömung
inire ineo inii initum	hineingehen, beginnen
persequi persequor persecutus sum	verfolgen
ignoscere ignosco ignovi ignotum	verzeihen
servitus servitutis f	Sklaverei
unus a um (ius i)	ein, einer, ein einziger
quamvis	beliebig, wie du willst
dux ducis m f	Anführer in
solacium	Trost, Trostmittel
curia	Kurie
effugere effugio effugi effugiturum (+akk)	entfliehen, entkommen
adire adeo adii aditum (+akk)	herantreten an, bitten
neglegere neglego neglexi neglectum	nicht achten, nicht beachten, vernachlässigen
