indicium	Anzeige, Kennzeichen
quidem	freilich, gewiss, wenigstens, zwar
parere pario peperi partum	zur Welt bringen, schaffen
pulcher a um	schön
mecum	mit mir
superbia	Stolz, Überheblichkeit
emittere emitto emisi emissum	entsenden, freilassen
recens recentis	frisch, neu
victoria	Sieg
una	zugleich, zusammen
mulier mulieris f	Frau
verum	aber, sondern
tutus a um	sicher
saepe	oft
vires virium	Streitkräfte
perterrere peterreo	einschüchtern, sehr erschrecken
prorsus	überhaupt, völlig
dolor doloris m	Schmerz
morbus	Krankheit
ferrum	Eisen, Waffe
animadvertere animadverto animadverti animadversum (+in akk)	vorgehen gegen
superesse supersum superfui	überleben, übrig sein
dea	Göttin
incedere incedo incessi incessum	heranrücken, eintreten
praeferre praefero praetuli praelatum	vorziehen
ripa	Ufer
nex necis f	Mord, Tod
constat	es ist bekannt, es steht fest
sedes sedis f	Platz, Sitz, Wohnsitz
incredibilis e	unglaublich
vastus a um	riesig, öde, verwüstet
postulare postulo	fordern
tenere teneo tenui tentum	besitzen, festhalten, halten
terrere terreo	erschrecken
videri videor visus sum	scheinen, gelten als
appetere appeto appetivi appetitum	haben wollen, erstreben, angreifen
deficere (a +abl)	abfallen von
cogere cogo coegi coactum	versammeln, sammeln, zwingen
sors sortis f	Los, Schicksal, Orakelspruch
prehendere prehendo prehendi prehensum	ergreifen, nehmen
tametsi	obwohl
aperire aperio aperui apertum	aufdecken, öffnen
fingere fingo finxi fictum	gestalten, sich etwas ausdenken
acies aciei f	Schlachtordnung
pugnare pugno	kämpfen
