colere colo colui cultum	bewirtschaften, pflegen, verehren
deducere deduco deduxi deductum	hinführen, wegführen
transire transeo transii transitum	durchqueren, hinübergehen, überschreiten
pater patris m	Vater
vox vocis f	Stimme, Äusserung, Laut
furor furoris m	Wahnsinn, Wut
de (+abl)	von, von...her, von...herab, über
exigere exigo exegi exactum	fordern, einfordern, vollenden
longus a um	lang, weit
diu	lange, lange Zeit
denique	schliesslich, zuletzt
flagitium	Gemeinheit, Schandtat
sub (+akk)	nahe an...heran, unter (wohin?)
nec, neque	und nicht, auch nicht, nicht einmal
dictum	Ausspruch, Wort
multus a um	viel
iucundus a um	angenehm, erfreulich
reducere reduco reduxi reductum	zurückführen, zurückziehen
inquam	sage ich, sagte ich
invidia	Neid
hodie	heute
sane	allerdings, gewiss, meinetwegen
raro	selten
proponere propono proposui propositum	in Aussicht stellen
non solum...sed etiam	nicht nur...sondern auch
asper aspera asperum	rau, streng
vicus	Dorf, Gasse
nullus a um (ius i)	kein
quoniam (+subj +ind)	da ja, da nun
ignis ignis m	Feuer
afferre affero attuli allatum	bringen, herbeibringen, mitbringen, melden
contentus a um	zufrieden
adducere adduco adduxi adductum	heranführen, veranlassen
multitudo multitudinis f	grosse Zahl, Menge
mori morior mortuus sum	sterben
dignus a um (+abl)	wert, würdig
tempus temporis n	günstige Zeit, Zeit, Umstände
iterum	wiederum
statim	auf der Stelle, sofort
redire redeo redii reditum	zurückgehen, zurückkehren
maxime	am meisten, besonders
trahere traho traxi tractum	schleppen, ziehen
dexter dextra dextrum	rechts
expellere expello expuli expulsum	vertreiben, verbannen
ostendere ostendo ostendi	zeigen, erklären
