quire queo quivi/quii	können
sol solis m	Sonne
varius a um	bunt, verschieden, vielfältig
quare	weshalb, wodurch, deshalb
altus a um	hoch, tief
paulatim	allmählich
causa (+gen)	wegen
vitium	Fehler, schlechte Eigenschaft
omnino	insgesamt, überhaupt, völlig
velle volo volui	wollen
ultro citroque	hinüber und herüber
experiri experio expertus sum	erfahren, versuchen
adhuc	bis jetzt, noch
esse sum fui	sein, sich befinden
timere timeo	Angst haben, fürchten
passus passus m	Schritt
usque (a +abl)	seit
condere condo condidi conditum	verwahren, verbergen, erbauen, gründen
ubi (+subj +ind)	sobald
populus	Volk
demum	endlich
notus a um	bekannt
committere committo commisi commissum	anvertrauen, veranstalten, zustande bringen
sententia	Antrag, Meinung, Satz, Sinn
descendere descendo descendi descensum	herabsteigen
resistere resisto restiti	stehen bleiben, Widerstand leisten
numquam	niemals
desperare despero	die Hoffnung aufgeben, verzweifeln
contra (+akk)	gegen, gegenüber
multo	um viel, viel
neque, nec	und nicht, auch nicht, nicht einmal
proficisci proficiscor profectus sum	abreisen, reisen, aufbrechen
obses obsidis m f	Geisel
carus a um	lieb, teuer, wertvoll
instruere instruo instruxi instructum	aufstellen, ausrüsten, unterrichten
coniunx coniugis m f	Gatte, Gattin
quis	wer
annus	Jahr
opes	Macht, Mittel, Reichtum
premere premo pressi pressum	unterdrücken, drücken, bedrängen
loqui loquor locutus sum	reden, sprechen
ita	so
utilis e	nützlich
singulus a um	je ein, jeder einzelne
quidnam	was denn
