legio legionis f	Legion
pretium	Preis, Wert, Geld
abesse absum afui (+a abl)	abwesend sein, fehlen
alter a um (ius i)	der eine von zweien, der andere von zweien
secum	mit sich, bei sich
cum (+ind)	als, als plötzlich, zu der Zeit als, immer wenn, wenn
considere consido consedi consessum	sich setzen, sich niederlassen
constituere constituo constitui constitutum	festsetzen, beschliessen
turbare turbo	durcheinander bringen, stören
animus	Geist, Gesinnung, Mut
queri (+akk)	klagen, sich beklagen über
dextera manus	die rechte Hand
opinio opinionis f	Meinung, guter Ruf, Ruf
potius	eher, lieber
solvere solvo solvi solutum	auflösen, bezahlen, lösen
in (+akk)	in...hinein, nach, gegen
enim	nämlich, in der Tat
otium	freie Zeit, Ruhe, Frieden
pius a um	fromm, gerecht, pflichtbewusst
pudet puduit	es beschämt
priusquam (+subj +ind)	bevor, eher als
nondum	noch nicht
conspicere conspicio conspexi conspectum	erblicken
insequi insequor insecutus sum	unmittelbar folgen, verfolgen
rectus a um	gerade, recht, richtig
coniungere coniungo coniunxi coniunctum	verbinden, vereinigen
-ve	oder
quisquam quaequam quidquam/quicquam	irgendjemand
afficere afficio affeci affectum (+abl)	versehen mit etwas
nuper	neulich, vor kurzem
illuc	dahin, dorthin
iusiurandum	Eid, Schwur
dives divitis	reich
fabula	Erzählung, Geschichte, Theaterstück
rarus a um	selten, vereinzelt
conservare conservo (a +abl)	retten vor, retten, bewahren
obtinere obtineo	in Besitz haben, haben, besetzt halten, halten
ira	Zorn
tempestas tempestatis f	Sturm, schlechtes Wetter, Wetter, Zeit
nubere nubo nupsi nuptum (+dat)	heiraten
confiteri confiteor confessus sum	eingestehen, gestehen
prohibere prohibeo (a +abl)	abhalten von, hindern an
quam (+superlativ)	möglichst
ut	wie
necesse est	es ist notwendig
