timor timoris m	Angst, Furcht
pecus pecoris n	Vieh
pristinus a um	früher
tegere tego texi tectum	bedecken, schützen, verbergen
quisquis quaequae quodquod	jeder, der
superare supero	besiegen, überragen, übertreffen
ibi	dort
religio religionis f	Aberglaube, Glaube, Gottesverehrung, Verehrung, Frömmigkeit, Gewissenhaftigkeit
plurimi ae a	sehr viele
pauci ae a	wenige
brevi	nach kurzer Zeit, bald, bald darauf
ponere pono posui positum	aufstellen, stellen, hinlegen, legen, setzen
vulgus vulgi n	die Leute, die grosse Masse, der Pöbel
iudex iudicis m	Richter
sinere sino sivi situm	lassen, erlauben
animadvertere animadverto animadverti animadversum (+aci/+akk)	bemerken
angustus a um	eng, schwierig
publicus a um	öffentlich, staatlich
nominare nomino	nennen
dulcis e	angenehm, süss
gladius	Schwert
convenire convenio conveni conventum	besuchen, zusammenkommen, zusammenpassen
refert	es ist wichtig
sponte mea/tua/sua	freiwillig, mit eigener Kraft, von selbst
furtum	Diebstahl, Hinterlist
undique	von allen Seiten
magnitudo magnitudinis f	Grösse
noster a um	unser
adiungere adiungo adiunxi adiunctum	hinzufügen, anschliessen
legatio legationis f	Gesandschaft
habere (+dopp akk)	halten für
confirmare confirmo	bekräftigen, ermutigen, stärken
senex senis m	Greis, alter Mann
praestare praesto praestiti (+akk)	gewähren, leisten, zeigen
et	auch
abducere abduco abduxi abductum	wegführen
discedere discedo discessi discessum	auseiander gehen, weggehen
necesse	notwendig
res publica	Staat
difficilis e	schwierig
patria	Heimat
poscere posco poposci	fordern, verlangen
parare paro	bereiten, vorbereiten, vorhaben, erwerben
docere doceo docui doctum	lehren, unterrichten
eicere eicio eieci eiectum	hinauswerfen, vertreiben
