exemplum	Beispiel, Vorbild
sequi sequor secutus sum (+akk)	folgen
cupere cupio cupivi cupitum	verlangen, wünschen
mirari miror miratus sum	bewundern, sich wundern
ordo ordinis m	Ordnung, Reihe, Stand
ingredi ingredior ingressus sum	betreten, beginnen
hinc	von hier, hierauf
beneficium	Wohltat
studere (+dat)	sich bemühen um, streben nach
-que	und
adversus a um	entgegengesetzt, feindlich
excipere excipio excepi exceptum	aufnehmen, eine Ausnahme machen
creber crebra crebrum	häufig, zahlreich
ultimus a um	der äusserste, der entfernteste, der letzte
villa	Haus, Landhaus
flumen fluminis n	Fluss
hora	Stunde, Zeit
libertas libertatis f	Freiheit
opus est (+abl)	es ist nötig, man braucht
nuntiare nuntio	melden
maximus a um	der grösste, sehr gross
res gestae	Taten
monere moneo	ermahnen, mahnen, warnen
currere curro cucurri cursum	eilen, laufen
auxilium	Hilfe
auxilia (pl)	Hilfstruppen
latere lateo	verborgen sein
dare do dedi datum	geben
antiquus a um	alt, altertümlich
ante	vorher
probare probo	beweisen, für gut befinden
uterque	beide, jeder, jeder von zweien
aliter	anders, sonst
sed	aber, sondern
niti nitor nixus sum (+abl)	sich stützen auf
mortalis e	sterblich, Mensch
ius iuris n	Recht
recitare recito	vorlesen, vortragen
certus a um	sicher
inquit	sagt er, sagte er
leo leonis m	Löwe
locare loco	aufstellen, setzen, vermieten
filius	Sohn
meminisse menini (+gen/akk)	sich erinnern an
arma armorum (pl)	Gerät, Waffen
tergum	Rücken
