humanus a um	gebildet, menschlich
clarus a um	berühmt, hell, klar
immo	im Gegenteil, ja sogar
silva	Wald
solum	nur
sperare spero	erwarten, hoffen
sermo sermonis m	Äusserung, Gerede, Gespräch, Sprache
foris	ausserhalb, draussen, im Krieg
iactare iacto	schleudern, rühmen
volvere volvo volvi volutum	rollen, wälzen, überlegen
inanis e	leer, wertlos
tacitus a um	lautlos, still, verschwiegen
excitare excito	erregen, ermuntern, wecken
opportunus a um	geeignet, günstig
iniquus a um	ungerecht, ungleich
vestis vestis f	Kleidung
oppugnare oppugno	angreifen
dolere doleo	schmerzen, wehtun, bedauern
obscurus a um	dunkel, unbekannt
tam	so
caelum	Himmel
iacere iaceo	liegen
rumpere rumpo rupi ruptum	zerbrechen
quo ut eo (+komparativ)	damit umso
virtus virtutis	Tapferkeit, Tüchtigkeit, Vortrefflichkeit, Leistung
quaesere quaeso	bitten
colligere colligo collegi collectum	sammeln
similis e (+gen/dat)	ähnlich
sub (+abl)	unten an, unten bei, unter (wo?)
ecce	schau, schaut, sieh da, seht da
vos (nom)	ihr
miscere misceo miscui mixtum	mischen, verwirren
turba	Menschenmenge, Lärm, Verwirrung
par paris	ebenbürtig, gleich
fateri fateor fassus sum	bekennen, gestehen
vulnus vulneris n	Wunde, Verlust
cena	Mahlzeit, Essen
augere augeo auxi auctum	vergrössern, vermehren
cum (+abl)	mit, zusammen mit
virtus (pl)	gute Eigenschaften, Dienste
aggredi aggredior aggressus sum	angreifen, herangehen
odium	Hass
unda	Gewässer, Welle
contingere contingo contigi contactum	berühren, gelingen
eiusmodi	derartig, so beschaffen
