ingenium	Begabung, Talent
prospicere prospicio prospexi prospectum	schauen auf, sehen
sensus sensus m	Gefühl, Sinn, Verstand
gemitus gemitus m	Seufzen, Traurigkeit
reverti revertor reverti reversum	zurückkehren
an (im indir fragesatz)	ob, ob nicht
auctor auctoris m	Anführer, Gründer, Ratgeber, Verfasser
praed	Beute
fructus fructus m	Ertrag, Frucht, Nutzen
ille illa illud (ius i)	jener jene jenes
beatus a um	glücklich, reich
tueri tueor (+akk)	betrachten, schützen, sichern, sorgen für
insula	Insel, Wohnblock
impetus impetus m	Angriff, Schwung
placere placeo	gefallen
metuere metuo metui	sich fürchten, fürchten
hic	hier
aes aeris n	Erz, Geld
laus laudis f	Lob, Ruhm
mensis mensis m	Monat
magnus a um	gross, bedeutend
flere fleo flevi fletum	beklagen, beweinen, weinen
comparare comparo	vergleichen
quisque quidque	jeder
filia	Tochter
res rei f	Angelegenheit, Ding, Sache
lectus	Bett, Liegesofa
bonus a um	gut
unde	woher
dimittere dimitto dimisi dimissum	aufgeben, entlassen
sumptus sumptus m	Aufwand, Kosten
oratio orationis f	Rede
casus casus m	Fall, Zufall
violare violo	entehren, verletzen
consequi consequor consecutus sum	erreichen, nachfolgen
restare resto restiti	übrig bleiben, Widerstand leisten
gaudium	Freude
nisi (+verneinung)	nur
potens potentis	mächtig, stark
neve, neu	oder nicht, und nicht
ne (+subj +konj eines ausdrucks des fürchtens oder hinderns)	dass
imponere impono imposui impositum	auferlegen, einsetzen
gaudere gaudeo gavisus sum	sich freuen
privatus a um	persönlich, privat, Privatperson
fiducia	Vertrauen
