nolle nolo nolui	nicht wollen
opera	Arbeit, Mühe
neque...neque	weder...noch
atque, ac	und, und auch, wie, als
tunc	damals, dann
cultus cultus m	Bildung, Lebensweise, Pflege, Verehrung
somnus	Schlaf
aedis aedis f	Tempel
aedes (pl)	Haus
sentire sentio sensi sensum	fühlen, meinen, wahrnehmen
vestigium	Fusssohle, Spur, Stelle
brevis e	kurz
celeritas celeritatis f	Schnelligkeit
uti utor usus sum (+abl)	benützen, gebrauchen
voluntas voluntatis f	Absicht, Wille, Zustimmung
diligere diligo dilexi dilectum	hoch achten, lieben
vincere vinco vici victum	besiegen, siegen, übertreffen
vero	in der Tat, wirklich, aber
iuvenis iuvenis m	junger Mann, jung
factum	Handlung, Tat, Tatsache
lacrima	Träne
defendere defendo defendi defensum	abwehren, verteidigen
ex/e (+abl)	aus, von...her
proferre profero protuli prolatum	hervorholen, holen, zur Sprache bringen
posteri posterorum	Nachkommen
falsus a um	falsch
reliquus a um	künftig, übrig
tandem	endlich
cum (+konj)	als, nachdem, weil, obwohl, während, während dagegen
imago imaginis f	Abbild, Bild
usque (ad +akk)	bis zu
iungere iungo iunxi iunctum	verbinden, vereinigen
umerus	Oberarm, Schulter
super (+abl)	oben auf, auf, über (wo?)
velut	wie, wie zum Beispiel
amare amo	lieben
eques equitis m	Reiter, Ritter
delectare delecto	erfreuen, unterhalten
ad (+akk)	an, bei, nach, zu
stultus a um	dumm
cornu cornus n	Heeresflügel, Horn
fur furis m	Dieb
proinde	also, daher
divus, divinus a um	göttlich
malle malo malui	lieber wollen
ipse ipsa ipsum (ius i)	selbst
