sic	so
pertinere pertineo (ad +akk)	betreffen, gehören zu, sich erstrecken bis
conscius a um (+gen)	bewusst, eingeweiht in, Teilnehmer, Zeuge
vel...vel	entweder...oder
torquere torqueo torsi tortum	drehen, quälen, schleudern
habitare habito	bewohnen, wohnen
frumentum	Getreide
rex regis m	König
usus usus m	Benutzung, Nutzen
occidere occido occidi occisum	niederschlagen, töten
invenire invenio inveni inventum	finden, erfinden
parvus a um	klein, gering
impetrare impetro	erreichen, durchsetzen
membrum	Glied, Körperteil
nonnulli ae a	einige, manche
rogare rogo	bitten, erbitten, fragen
labor laboris m	Anstrengung, Arbeit
vigilia	Nachtwache, Posten, Wachposten
ambo ambae ambo	beide, beide zusammen
vehi vehor vectus sum (+abl)	fahren, tragen, ziehen, sich fortbewegen, fahren
circiter	ungefähr
nocturnus a um	nächtlich
illic	dort
convivium	Gastmahl, Gelage
impellere impello impuli impulsum	antreiben, veranlassen
tuus a um	dein
magis	mehr, eher
offerre offero obtuli oblatum	anbieten, entgegenbringen
intrare intro	betreten, eintreten
interesse intersum interfui	dazwischen sein
licet licuit	es ist erlaubt, es ist möglich
dignitas dignitatis f	Ansehen, Würde, gesellschaftliche Stellung, Stellung
perturbare perturbo	in Verwirrung bringen
dedere dedo dedidi deditum	ausliefern, übergeben
consistere consisto constiti	Halt machen, sich aufstellen
edere edo edidi editum	herausgeben, bekannt machen
aedificium	Gebäude
efficere efficio effeci effectum	bewirken, herstellen
sive, seu	oder, oder wenn
honos, honor honoris m	Ehre, Ehrenamt
nimis, nimium	allzu, zu, allzu sehr, zu sehr
funus funeris n	Begräbnis, Untergang
parum	zu wenig, wenig
tot	so viele
perferre perfero pertuli perlatum	überbringen, bringen, ertragen
