homo hominis m	Mensch
septimus a um	der siebte
perspicere perspicio perspexi perspectum (+dat)	erkennen, genau betrachten, sehen
rapere rapio rapui raptum	wegführen, rauben, wegreissen
testis testis m f	Zeuge
temperare (+akk)	lenken, ordnen
demonstrare demonstro	beweisen, darlegen
posterus a um	folgend
conicere conicio conieci coniectum	zusammenwerfen, werfen, folgern, vermuten
telum	Angriffswaffe, Waffe, Geschoss
servire servio	dienen, Sklave sein
minimus a um	der kleinste, der geringste
peccare pecco	einen Fehler machen, sündigen
oriri orior ortus sum	entstehen, sich erheben
numerus	Zahl, Menge
vir viri m	Mann
civis civis m	Bürger
gravis e	schwer
ara	Altar
communis e	gemeinsam, allgemein
contendere contendo contendi	behaupten, eilen, sich anstrengen, kämpfen
inopia	Mangel, Not
ultro	freiwillig, noch dazu, sogar
ager agri m	Acker, Feld, Gebiet
mores morium	Charakter
omittere omitto omisi omissum	aufgeben, beiseite lassen
repellere repello reppuli repulsum	zurückstossen, abweisen, vertreiben
munitio munitionis f	Bau, Befestigung
aura	Gunst, Luft
sanctus a um	ehrwürdig, heilig
frequens frequentis	häufig, zahlreich
audire audio audivi auditum	hören
quam	als, wie
haerere haereo haesi	hängen, stecken bleiben
parentes	Eltern
miles militis m	Soldat
oportet oportuit	es gehört sich, es ist nötig
regius a um	königlich
monumentum	Denkmal
quanto...tanto	je...desto
ridere rideo risi risum	lachen, auslachen
poena	Strafe
mox	bald, dann
hospes hospitis m	Fremder, Gast, Gastgeber
primum	erstens, zuerst, zum ersten Mal
