parens parentis m f	Vater, Mutter
pati patior passus sum	erleiden, leiden, ertragen, zulassen
novus a um	neu, ungewöhnlich
memorare memoro	erwähnen, sagen
praestare (+dat)	übertreffen
arcessere arcesso arcessivi arcessitum	herbeirufen, holen
cohors cohortis f	Kohorte
a ab (+abl)	von, von her
durus a um	hart
actio actionis f	Tätigkeit, Gerichtsverhandlung, Rede
adeo	so sehr
cibus	Nahrung, Speise
portare porto	bringen, tragen
crescere cresco crevi	wachsen
causa	Sache, Prozess, Ursache
sedere sedeo sedi sessum	sitzen
periculum	Gefahr
inimicus a um	feindlich, Feind
pudor pudoris m	Scham, Schamgefühl, Anstand
nihil, nil	nichts
censere censeo censui censum (+akk)	meinen, einschätzen, seine Stimme abgeben für
quondam	einmal, einst, manchmal
primo	zuerst
usque	ohne Unterbrechung
magistratus magistratus m	Amt, Beamter
e/ex (+abl)	aus, von...her
libet libuit	es gefällt
exter extera exterum	ausländisch
viginti	zwanzig
quinque	fünf
nox noctis f	Nacht
frons frontis f	Stirn, Vorderseite
ater atra atrum	schwarz, düster
complures complurium	mehrere
vendere vendo vendidi venditum	verkaufen
sapere sapio sapii	Geschmack haben, Verstand haben
vinum	Wein
concedere concedo concessi concessum	erlauben, nachgeben, zugestehen
ne (+subj +konj)	dass nicht, damit nicht
tamen	dennoch, jedoch
cernere cerno	sehen, bemerken
ac, atque	und, und auch, wie, als
iudicare iudico	beurteilen, urteilen
respicere respicio respexi respectum	zurückblicken, berücksichtigen
postea	nachher, später
