adicere adicio adieci adiectum	hinzufügen
placidus a um	friedlich, ruhig, sanft
custodia	Gefängnis, Haft, Wache
immortalis e	unsterblich
si	falls, wenn, ob
appellare apello	anrufen
prior prioris	der erste, der frühere
repente	plötzlich, unerwartet
educere educo eduxi eductum	herausführen
quin (+hauptsatz)	vielmehr, warum nicht
laetitia	Freude
medius a um	der mittlere, in der Mitte
fames famis f	Hunger
-num (im indir fragesatz)	ob
repetere repeto repetivi repetitum	zurückverlangen, verlangen, wiederholen
circum (+akk)	rings um, um...herum
munus muneris n	Aufgabe, Geschenk
facere facio feci factum	machen, tun, handeln
armatus a um	bewaffnet
iubere iubeo iussi iussum (+akk)	anordnen, befehlen
revocare revoco	zurückrufen
cenare ceno	essen
vocare voco	nennen, benennen, rufen
et...et	sowohl...als auch
fortis e	kräftig
discere disco didici	lernen, erfahren
nos (nom)	wir
iuvare iuvo iuvi	unterstützen, erfreuen
mora	Aufenthalt, Verzögerung
caput capitis n	Hauptstadt, Kopf
prius	früher, zuerst
conferre confero contuli collatum	vergleichen, zusammentragen
regere rego rexi rectum	beherrschen, leiten, lenken
inde	von dort, darauf, deshalb
quin (+subj +konj)	dass nicht, dass
ingens ingentis	gewaltig, ungeheuer
dum (+subj +ind)	während, solange, bis, so lange bis
maior maioris	grösser
fallere fallo fefelli	täuschen, betrügen
eo	dorthin, deswegen
quo...eo	je...desto
genus generis n	Abstammung, Art, Geschlecht
novisse novi, nosse	kennen, wissen
extra (+akk)	ausserhalb von
fundere fundo fudi fusum	ausgiessen, giessen, zerstreuen
