male	schlecht, schlimm
complere compleo complevi completum	anfüllen
indicare indico	anzeigen, melden
hic haec hoc	dieser diese dieses
sex	sechs
puer pueri m	Junge, Bub
audere audeo ausus sum	wagen
praeter (+akk)	ausser
stare sto steti staturum	stehen
optimus a um	der beste, sehr gut
iurare iuro	schwören
laborare (+abl)	leiden an
ora	Küste
occidere occido occidi	umkommen, untergehen
copiae	Truppen
forte	zufällig
victor victoris m	Sieger, siegreich
primus a um	der erste
vel	oder, sogar
adesse adsum adfui (+dat)	da sein, helfen
aliquis aliquid	jemand, irgendjemand
deligere deligo delegi delectum	auswählen, wählen
praesens praesentis	anwesend, gegenwärtig
agmen agminis n	Heereszug
praesertim	besonders
nasci nascor natus sum	entstehen, geboren werden
probus a um	anständig, gut
ops opis f	Hilfe, Kraft
se praebere	sich zeigen
venire venio veni ventum	kommen
alius a ud (ius i)	ein anderer
acerbus a um	bitter, grausam, rücksichtslos
aspicere aspicio aspexi aspectum	erblicken
quasi	gleichsam, wie wenn, als ob
praemium	Belohnung, Lohn
iam	nun, schon
pessimus a um	der schlimmste
locus (pl loca locorum)	Ort, Platz, Stelle
niti (ad/in +akk)	streben nach
tam...quam	so...wie
quid	was
queri queror questus sum	klagen
providere (+dat)	sorgen für
componere compono composui compositum	abfassen, ordnen, schlichten, vergleichen
evenire evenio eveni eventum	sich ereignen
