idem eadem idem	derselbe, der gleiche
canis canis m	Hund
septem	sieben
grandis e	alt, bedeutend, gross
ceteri ae a	die übrigen
deponere depono deposui depositum	niederlegen, aufgeben
motus motus m	Bewegung
socius	Gefährte, Verbündeter
minime	am wenigsten, überhaupt nicht
continere contineo continui contentum	festhalten, (pass) enthalten sein, beruhen auf
paulum	ein wenig
necessarius a um	notwendig
requirere requiro requisivi requisitum	aufsuchen, sich erkundigen, verlangen
scelus sceleris n	Verbrechen, Schurke
existimare existimo	einschätzen, meinen
epistula	Brief
aestas aestatis f	Sommer
portus portus m	Hafen
oppidum	Stadt
tendere tendo tetendi tentum	sich anstrengen, spannen, ausstrecken, strecken
quoque (nachgestellt)	auch
munire munio munivi munitum	bauen, befestigen, schützen
parere pareo parui	gehorchen, sich richten nach
conspectus conspectus m	Anblick, Blickfeld
morari moror moratus sum	sich aufhalten, aufhalten
quia (+subj +ind)	weil
recte	geradeaus, richtig, zu Recht
pernicies perniciei f	Verderben, Vernichtung
occulte	heimlich
consul consulis m	Konsul
tamquam	wie, wie wenn, als ob
intueri intueor	anschauen
videre video vidi visum	sehen, darauf achten
incertus a um	ungewiss, unsicher
quotiens	wie oft, so oft
suscipere suscipio suscepi susceptum (+akk)	auf sich nehmen, sich einer Sache annehmen, unternehmen
providere provideo providi provisum (+akk)	vorhersehen
quemadmodum	auf welche Weise auch immer, wie
modo...modo	manchmal...manchmal
quamvis (+subj +ind)	wenn auch
praeesse praesum praefui (+dat)	an der Spitze stehen, leiten
mollis e	weich, angenehm, freundlich
pecunia	Geld, Vermögen
plenus a um (+gen)	voll von, voll mit, voll
superior superioris	der frühere, der weiter oben gelegene
