sacerdos sacerdotis m f	Priester in
lex legis f	Gesetz, Bedingung
scire scio scivi	kennen, verstehen, wissen
memor memoris (+gen)	in Erinnerung an
familia	Familie, Hausgemeinschaft
tangere tango tetigi tactum	berühren
properare propero	eilen, sich beeilen
bos bovis m f	Kuh, Ochse, Rind
cor cordis n	Herz
succedere succedo successi successum	nachfolgen, folgen, nachrücken
nemo neminis/nullius	niemand
quo	wie, wo, wohin
addere addo addidi additum	hinzufügen
manifestus a um	offenkundig, überführt
dubitare dubito (+inf)	zweifeln, zögern
postremo	kurz, kurz gesagt, schliesslich
mens mentis f	Geist, Sinn, Verstand, Meinung
tribuere tribuo tribui tributum	schenken, zuteilen
iugum	Berg, Bergrücken, Joch
senatus senatus m	Senat, Senatsversammlung
pons pontis m	Brücke
amicitia	Freundschaft
fuga	Flucht
dicere dico dixi dictum	sagen, sprechen
quartus a um	der vierte
omnis e	ganz, jeder
attingere attingo attigi attactum	berühren
verus a um	echt, richtig, wahr
deficere deficio defeci defectum	abnehmen, ermatten
mutare muto	verändern, ändern, verwandeln
levis e	leicht, leichtsinnig
exercitus execitus m	Heer
avus	Grossvater
patere pateo	offen stehen, sich erstrecken
corpus corporis n	Körper, Leichnam
honestus a um	angesehen, ehrenhaft
negare nego	leugnen, verneinen, verweigern
suus a um	ihr, sein
putare puto	glauben, meinen
clamare clamo	laut rufen, schreien
obicere obicio obieci obiectum	darbieten, vorwerfen
militaris e	Kriegs-, militärisch
talis e	derartig, ein solcher, so
via	Strasse, Weg
si	falls, wenn
