aditus aditus m	Zugang
aestus aestus m	Flut, Hitze
studere studeo	sich beschäftigen, sich wissenschaftlich beschäftigen
liber libera liberum	frei
reri reor ratus sum	meinen
finis finis m	Ende, Grenze, Ziel, Zweck
litterae	Brief, Literatur, Wissenschaft
ardere ardeo arsi arsurum	brennen
cavere caveo cavi cautum (+akk)	sich hüten vor, Vorsorge treffen
temptare tempto	angreifen, prüfen, versuchen
maiores maiorum m	Vorfahren
lingua	Rede, Sprache
duo duae duo	zwei
tum	da, damals, dann, darauf
super (+akk)	oben, oben auf, über...hinaus
soror sororis f	Schwester
propter (+akk)	wegen
superi superorum	Götter
quaerere quaero quaesivi quaesitum	erwerben wollen, suchen
imperator imperatoris m	Befehlshaber, Feldherr, Kaiser
providere (+ut)	dafür sorgen dass
quisnam	wer denn
solus a um	allein, einzig
tecum	mit dir
praedicare praedico	behaupten
cinis cineris m	Asche
aeternus a um	ewig
natura	Beschaffenheit, Natur, Wesen
consilium	Beratung, Beschluss, Plan, Rat
ferus a um	wild
subicere subicio subieci subiectum	darunter legen, unterwerfen
cadere cado cecidi casurum	fallen
istic	da, da bei dir, dort
auferre aufero abstuli ablatum	rauben, wegbringen
etiam (+komp)	noch
nobilitas nobilitatis f	Adel, vornehme Abstammung
inter (+akk)	unter, während, zwischen
remittere remitto remisi remissum	zurückschicken, nachlassen, vermindern
praeclarus a um	grossartig
temperare (+dat)	massvoll gebrauchen, zurückhalten
deus	Gott, Gottheit
coniuratio coniurationis f	Verschwörung
natus	Sohn
surgere surgo surrexi surrectum	aufrichten, sich erheben, aufstehen
ornare orno	ausstatten, schmücken
