mandare mando	einen Auftrag geben, übergeben
malum	Leid, Übel, Unglück
humus humi f	Erdboden, Erde
alius...alius	der eine...der andere
quamobrem	warum
anus anus f	alte Frau
potentia	Macht
differre differo distuli dilatum	aufschieben
consuetudo consuetudinis f	Gewohnheit
efferre effero extuli elatum	herausheben, hervorbringen
credere credo credidi creditum	anvertrauen, glauben
donare dono	schenken
pugna	Kampf
occupare occupo	besetzen, einnehmen
tres tres tria	drei
modus	Art, Weise, Mass
desiderare desidero (+akk)	sich sehnen nach, vermissen
familiaris	Freund
libellus	kleines Buch, Heft
initium	Anfang, Eingang
moenia moenium n	Stadtmauern, Mauern
progredi progredior progressus sum	vorrücken, weitergehen
vultus (pl)	Gesichtszüge
vetus veteris	alt
reddere (+dopp akk)	jmd zu etwas machen
hercule, hercules	beim Herkules!
volare volo	eilen, fliegen
vas vasis n (pl vasa vasorum)	Gefäss
nuptiae nuptiarum	Hochzeit
putare (+dopp akk)	halten für
arx arctis f	Burg
manere maneo mansi mansurum	bleiben, warten
plerique pleraque pleraque	die meisten, sehr viele
infestus a um	feindlich, feindselig
profecto	sicherlich, tatsächlich
aedificare aedificio	bauen
quiescere quiesco quievi quietum	ausruhen, ruhen, schlafen
sinus sinus m	Brust, Bucht, Tasche, Krümmung
modo	eben, eben noch, nur
praemittere praemitto praemisi praemissum	vorausschicken
debere debeo	müssen, sollen, schulden
sicut	wie, so wie
post	dann, später
instituere instituo institui institutum	beginnen, einrichten, unterrichten
meus a um	mein
