iustus a um	gerecht
saxum	Fels, Stein
fama	Ruf, guter Ruf, schlechter Ruf
nuntius	Bote, Nachricht
alere alo alui altum	ernähren, grossziehen
cella	Kammer, Keller, Tempel, Tempelraum
umbra	Schatten
quattuor	vier
post (+akk)	hinter, nach
statuere statuo statui statutum	aufstellen, beschliessen, festsetzen
excedere excedo excessi excessum	hinausgehen, weggehen
etiam	auch, sogar
memoria	Erinnerung, Gedächtnis, Zeit
persuadere persuadeo persuasi persuasum (+dat +ut)	jmd überreden
persuadere (+dat +aci)	überzeugen
