πειράομαι	versuchen, erproben	mit Gen.
πειράομαι τοῦ φίλου	ich prüfe den Freund	
ἐρωτάω	fragen, wieder fragen	
ἐπερωτάω	fragen	
ἐπιχειρέω	jmdn angreifen, etw unternehmen, etw versuchen	eigt.: 'Hand anlegen'
φοιτάω	häufig an einen Ort gehen, jmdn regelmässig besuchen	
ὁ ἄργυρος	das Silber, das Geld	
τὸ ἀργύριον	das Silber, das Geld	
τελέω	vollenden, bezahlen	
τίνος ἕνεκα;	weswegen?	
δεινός, ή, όν	furchtbar, gewaltig, tüchtig	
διδάσκω	lehren	
χρήομαι	etw gebrauchen	mit Dat.
ἡ ῥητορική (τέχνη)	die Redekunst, die Rhetorik	
τῇ ῥητορικῇ χρῆσθαι	von der Redekunst Gebrauch machen	
ἀποκρίνομαι	antworten	
ἡ ἀστρονομία	die Astronomie	
ἡ γεωμετρία	die Geometrie	
ἡ μουσική	die Musik	
κτάομαι	erwerben	
πολιτικός, ή, όν	staatsbürgerlich, politisch	
ὁ πολιτικός	der Staatsmann, der Politiker	
καταμανθάνω	(genau) begreifen	
ὑπισχνέομαι	versprechen	
ὁ πολίτης	der Bürger	
δεινὸς λέγειν	redegewandt	R48: 'tüchtig in Beziehung auf das Reden'
χαίρω ἀποκρινόμενος	ich antworte gerne	R49: mehrgliedriges Prädikat: 'ich freue mich als antwortender'
