εὐθύς	gerade, geradewegs, sofort	1+2: örtlich; 3: zeitlich
τὸ τεῖχος	die Mauer	
ἡ μηχανή	der gute Einfall, die Erfindung, der Kunstgriff, das Werkzeug, die Maschine	
βάλλω	werfen, treffen	
ἄκρος	spitz, äusserst, höchst	
ἡ ἀκρόπολις	die Burg	der hochgelegene## befestigte Teil der Stadt
ὁ φρουρός	der Wächter	
καταβαίνω	herabsteigen, herabkommen	
ἡ κατάβασις	die Rückkehr, der Abstieg	
ἡ ἀνάβασις	der Aufstieg, die Reiterei	
δῆλος	offenbar, klar	
ὅποι	wohin	
ἅμα τῇ ἡμέρᾳ	mit Tagesanbruch	zugleich mit dem Tag
εἰσελαύνω	hineintreiben, eindringen	
ἡ τάξις	die Aufstellung, die Ordnung	
κινέω	bewegen	
ἐντεῦθεν	von dort	
ἔρημος	einsam, verlassen, leer	
τὸ ὄνομα	der Name	
οἰκέω	wohnen, bewohnen	
πολιορκέω	belagern	
πλήττω	schlagen	
ἐκπλήττω	jmdn erschrecken	ausser Fassung bringen
ἐκπλήττομαι (τι)	(vor etw) erschrecken	
ὀνομάζω	nennen, benennen	
ὡς θύσων	um zu opfern	R85 'wie einer, der sich anschickt zu opfern'
