bonus a um	gut
magnus a um	gross, bedeutend
villa ae f	Haus, Landhaus
parvus a um	klein
aegrotus a um	krank
orator is m	Redner
laudare	loben
et	und, auch
amicus i m	Freund
sunt	sie sind
hodie	heute
venire venio veni ventum	kommen
etiam	auch, sogar, noch
amica ae f	Freundin
invitare	einladen
libenter	gern
salutare	grüssen, begrüssen
tum	dann, darauf
itaque	daher, deswegen
saepe	oft
visitare	besuchen
imperator is m	Feldherr, Kaiser
multi ae a	viele
portare	tragen
via ae f	Weg, Strasse
victor is m	Sieger
laetus a um	froh, fröhlich
clamare	rufen, schreien
senator is m	Senator
adesse	da sein, anwesend sein
adsunt	sie sind da, sie sind anwesend
populus i m	Volk
audire	hören
Io triumphe	Hurra!, Triumph!
