nam	denn, nämlich
patria ae f	Vaterland, Heimat
provincia ae f	Provinz
navigare	segeln, Schiff fahren
cognoscere cognosco cognovi cognitum	erkennen, erfahren
capere capio cepi captum	fassen, ergreifen, erobern, kapern
divitiae arum f	Reichtum
parare	bereiten, zubereiten
comparare	verschaffen, erwerben, vergleichen
alius a ud	ein anderer
importare	einführen
incola ae m f	Einwohner in
vendere vendo vendidi venditum	verkaufen
placere	gefallen
ita	so
interdum	manchmal
pirata ae m	Pirat
sed	aber, sondern
bene	gut
consulere consulo consului consultum (+dat)	sorgen für
consulere (+akk)	befragen, um Rat fragen
vigilare	wachen, wachsam sein
opprimere	unterdrücken, bekämpfen, überfallen
timor is m	Furcht
abesse absum afui	abwesend sein, fehlen
deus i m	Gott
post (+akk)	nach
post	danach, später
ceteri ae a	die übrigen, die anderen
gratia ae f	Dank, Ansehen, Beliebtheit
agere ago egi actum	treiben, betreiben, handeln, verhandeln, führen
gratias agere	danken 
