vita ae f	Leben
cum (+abl)	mit
iam	schon, jetzt gleich
mane	früh am Morgen
e, ex	aus
lectus i m	Bett, Liege
surgere	aufstehen
-que	und
properare	schnell gehen, sich beeilen
in (+abl)	in (wo?)
ponere pono posui positum	setzen, stellen, legen
colligere colligo collegi collectum	sammeln
tertius a um	der dritte
hora ae f	Stunde
silva ae f	Wald
arbor is f	Baum
caedere caedo cecidi caesum	fällen
sub (+abl)	unter (wo?)
considere	sich setzen
cibus i m	Speise
nonus a um	der neunte
cuncti ae a	alle
trahere traho traxi tractum	ziehen, schleppen
locus i m	Ort, Stelle, Platz
dare do dedi datum	geben
circumdare	umgeben
tandem	endlich
familia ae f	Familie, Hausgemeinschaft
liberare (+abl)	befreien von
convenire	zusammenkommen, sich versammeln
cena ae f	Essen, Mahlzeit
alio loco	an einer anderen Stelle
teria hora	zur dritten Stunde
