primus a um	der erste
vicus i m	Dorf
Romam	nach Rom
interrogare	fragen
salvere	gesund sein
salve	sei gegrüsst
salvete	seid gegrüsst
cur?	warum?
-ne	(Fragepartikel)
campus i m	Feld, freier Platz
Campus Martius	Marsfeld
ita	so, ja, richtig
consul, is m	Konsul
novus a um	neu
creare	wählen, erschaffen
domi	zu Hause
manere maneo mansi mansum	bleiben
quid?	was?
putare	glauben, meinen, halten für
num	etwa...?
ignorare	nicht wissen, nicht kennen
vicinus i m	Nachbar, benachbart
candidatus i m	Kandidat, Wahlbewerber
aut	oder
autem	jedoch, aber
minime	keineswegs, gar nicht
dicere dico dixi dictum	sagen
dic!	sag!
optimus a um	der beste, ein sehr guter
respondere respondeo respondi responsum	antworten
quidem	jedenfalls, wenigstens
malus a um	schlecht, übel
orare	reden, bitten
Marcum consulem creare	Markus zum Konsul wählen
Marcum amicum bonum putare	Markus für einen guten Freund halten
