res ei f	Sache
publicus a um	öffentlich
res publica ei ae	Staat, Republik
rex regis m	König
enim	nämlich, denn
invadere invado invasi invasum	eindringen, einfallen
socius i m	Bundesgenosse, Verbündeter
dies ei m	Tag
curia ae f	Kurie
salus salutis f	Rettung, Wohlergehen
debere	müssen, schulden
spes ei f	Hoffnung
ante (+akk)	vor
ante	vorher
a, ab (+abl)	von
diu	lange
homo inis m	Mensch, Mann
stare sto steti statum	stehen
scire	wissen
fides ei f	Vertrauen, Treue
habere	haben
semper	immer
pugnare	kämpfen
iubere iubeo iussi iussum (+akk)	befehlen
nunc	nun, jetzt
causa ae f	Grund, Ursache, Gerichtsverfahren
non iam	nicht mehr
gaudere	sich freuen
aliquis, akk aliquem	jemand, irgendeiner
aliquid n	etwas, irgend etwas
aliqui ae a	irgendwelche, einige
neque	und nicht, aber nicht, auch nicht
neque...neque	weder...noch
pecunia ae f	Geld
accipere accipio accepi acceptum	annehmen, empfangen
constat	es steht fest
fidem habere (+dat)	glauben, vertrauen
