oppidum i n	Stadt, Kleinstadt
forum i n	Marktplatz, Forum
ignotus a um	unbekannt
cupere cupio cupivi cupitum	wünschen
aedificium i n	Gebäude
clarus a um	hell, berühmt
ire eo ii itum	gehen
templum i n	Tempel
vel	oder, sogar
monstrare	zeigen
gaudium i n	Freude
adire	herangehen, besuchen, bitten
de (+abl)	von, von herab, über
spectare	betrachten
nomen inis n	Name
opus operis n	Werk, Mühe, Arbeit
exire	herausgehen
inire	betreten, hineingehen, beginnen
theatrum i n	Theater
appropinquare	sich nähern
tempus temporis n	Zeit
ecce	sieh!, da!
tabula ae f	Tafel
memoria ae f	Gedächtnis, Andenken
servare	bewahren, retten
fabula ae f	Geschichte, Theaterstück
poeta ae m	Dichter
antiquus a um	alt, antik
solum	allein, nur
delectare	freuen, Freude machen
licere	erlaubt sein
deesse	fehlen
domum	nach Hause, heim
abire	fortgehen
ecce amicum	da ist der Freund
multa	viel, vieles
cuncta	alles
non ignorare	gut kennen, genau wissen
mihi gaudio est	es macht mir Freude
