nonne	etwa nicht?, denn nicht?
nuntius i m	Meldung, Bote
apportare	herbeibringen, bringen
certus a um	sicher, gewiss
terror terroris m	Schrecken
legio legionis f	Legion
delere deleo delevi deletum	zerstören, vernichten
pauci ae a	wenige
miles militis m	Soldat
fuga ae f	Flucht
se	sich
imperium i n	Herrschaft, Reich, Imperium
male	schlecht
defendere defendo defendi defensum	verteidigen
finis finis m	Ende, Grenze
fines finium m	Gebiet
interesse	dabeisein
interesse (+dat)	teilnehmen an
superare	überwinden, übertreffen
metuere metuo metui	fürchten
narrare	erzählen
dux ducis m	Führer, Anführer
nuntiare	melden
contra (+akk)	gegen
contra	gegen
coniurare	sich verschwören
statim	sofort
castra castrorum n	Lager
contendere contendo contendi contentum	sich anstrengen, eilen, kämpfen
iter itineris n	Weg, Marsch, Reise
densus a um	dicht
magis	mehr
quam	als, wie
subito	plötzlich
fortiter	tapfer
superesse	übrig sein, überleben
redire redeo redii reditum	zurückgehen, zurückkehren
