civitas civitatis f	Staat, Bürgerschaft
regnare	regieren
urbs urbis (ium) f	Stadt
libertas libertatis f	Freiheit
civis civis (ium) m f	Bürger in
hostis hostis (ium) m f	Feind in
augere augeo auxi auctum	vergrössern, vermehren
honor honoris m	Ehre, Ehrenamt
aliquando	einst, einmal, irgendwann
copia ae f	Menge, Vorrat
copiae copiarum f	Truppen
sedere sedeo sedi sessum	sitzen
tempestas tempestatis f	Wetter, Unwetter, Gewitter
occultare	verbergen
deinde	dann, darauf
terra ae f	Land, Erde
tacere	schweigen
iterum	wieder, noch einmal
totus a um	ganz
prope (+akk)	nahe, nahe bei
prope	in der Nähe, fast
filius i m	Sohn
noster nosstra nostrum	unser
pater patris m	Vater
patres, patrum m	Senatoren
necare	töten
invidia ae f	Neid, Missgunst
contio contionis f	Volksversammlung, Versammlung
dolor doloris m	Schmerz
cogitare	denken, nachdenken
apparere	erscheinen, auftauchen
meus a um	mein
caput capitis n	Kopf, Hauptstadt
orbis orbis (ium) m	Kreis
lex legis f	Gesetz
sacer sacra sacrum	heilig, unantastbar
alius alium interrogat	der eine fragt den anderen
iterum iterumque	immer wieder
memoriam sacram habere	die Erinnerung heilig halten
quo ex tempore	seit dieser Zeit
