iuvenis iuvenis m	junger Mann
pila ae f	Ball
iactare	werfen, schleudern
quamquam	obwohl
ibi	dort
faber fabri m	Handwerker
quod	da, weil
consuetudo consuetudinis f	Gewohnheit, Gewöhnung
nonnulli ae a	einige
animadvertere animadverto animadverti animadversum	bemerken, aufmerksam werden
plenus a um (+gen)	voll, voll von
nihil	nichts
exspectare	erwarten
cum	als, als plötzlich
volare	fliegen
postquam	nachdem
iudicium i n	Gericht, Gerichtsverhandlung, Urteil
mors mortis f	Tod
accusare	anklagen
tamen	dennoch, trotzdem
ius iuris n	Recht
culpa ae f	Schuld
si	wenn
pars partis (ium) f	Teil, Richtung, Seite
periculum i n	Gefahr
iudex iudicis m	Richter
punire	bestrafen
an	oder etwa?, oder?
nemo	niemand
fortuna ae f	Schicksal, Glück
pro (+abl)	für, anstelle von
et...et	sowohl...als auch
pila ludere	Ball spielen
nihil mali	nichts Böses
pro re habere, rerum loco habere	als Sache ansehen
