natus a um	geboren
post Christum natum	nach Christi Geburt
ante Christum natum	vor Christi Geburt
saeculum i n	Jahrhundert, Zeitalter
ut (+ind)	wie
colere colo colui cultum	verehren, bebauen
parere	gehorchen
negare	sich weigern, verneinen, sagen dass nicht
legere lego legi lectum	lesen, sammeln
ducere duco duxi ductum	führen
duc!	führe!
terrere	in Schrecken versetzen, einschüchtern
sacerdos sacerdotis m f	Priester in
religio religionis f	Religion, Gottesfurcht
videri	scheinen, gesehen werden
senex senis m	alter Mann, alt
verbum i n	Wort
tuus a um	dein
nisi	wenn nicht, ausser
caelum i n	Himmel
caeli caelorum m	christlicher Himmel
cogere cogo coegi coactum	zwingen, versammeln
finire	beenden
stultus a um	dumm, töricht
vester vestra vestrum	euer
ignoscere ignosco ignovi ignotum	verzeihen
mens mentis (ium) f	Verstand, Gesinnung
iurare	schwören
iurare per	schwören bei
nullus a um	kein, keiner
movere moveo movi motum	bewegen, beeindrucken
oculus i m	Auge
potest	kann
aeternus a um	ewig
