exercitus exercitus m	Heer
ubi (+ind per)	sobald
metus us m	Furcht
impetus us m	Angriff, Ansturm
paene	fast, beinahe
expugnare	erobern
pons pontis (ium) m	Brücke
flumen fluminis n	Fluss
iussu (+gen)	auf Befehl von
magistratus us m	hoher Beamter, Behörde
tantus a um	so gross
senatus us m	Senat
obsidere	belagern
inopia ae f	Mangel, Not
frumentum i n	Getreide
vexare	quälen, plagen
pax pacis f	Friede, Friedensvertrag
paratus a um	bereit, entschlossen
virgo virginis f	Mädchen
obses obsidis m f	Geisel
tenere teneo tenui tentum	halten, festhalten
inter (+akk)	zwischen, unter (Menge)
genus generis n	Art, Geschlecht
clam	heimlich
telum i n	Geschoss, Waffe
propinquus a um	benachbart, verwandt, der Verwandte
restituere restituo restitui restitutum	wiederherstellen, zurückgeben
manus manus f	Hand, Schar
sine (+abl)	ohne
non modo...sed etiam	nicht nur...sondern auch
propter(+akk)	wegen
honorare	ehren
femina ae f	Frau
ornare	schmücken
