secundus a um	der zweite, günstig
totus a um (ius i)	ganz
egestas egestatis f	Armut, Not
vivere vivo vixi	leben
afferre affero attuli allatum	herbeibringen, melden, antun
unus una unum (ius i)	einer
quod	dass
procul	weit, in der Ferne
procul a (+abl)	weit entfernt von
dum	während, solange wie
ager agri m	Acker, Feld
posse possum potui	können
conferre confero contuli collatum	zusammentragen, vergleichen
se conferre	sich begeben
domus domus f	Haus
relinquere relinquo reliqui relictum	verlassen, zurücklassen
liber libera liberum	frei
extremus a um	der äusserste
ferre fero tuli latum	tragen, bringen, ertragen
auxilium i n	Hilfe
apud (+akk)	bei
plebs plebis f	Volk, Volksmasse
modus i m	Art und Weise, Mass
errare	irren, umherirren
olim	einst
desperare	verzweifeln
tribunus i m	Tribun
tribunus plebis	Volkstribun
repugnare	Widerstand leisten
denique	schliesslich
medius a um	der mittlere, Mittel-
tollere tollo sustuli sublatum	aufheben, beseitigen
ea de causa, qua de causa	aus diesem Grund
verba facere	reden, sprechen
legem ferre	ein Gesetz einbringen
medio in foro	mitten auf dem Marktplatz
e medio tollere	beseitigen, ermorden
signa tollere	vorrücken, abmarschieren
clamorem tollere	ein Geschrei erheben, lärmen
