coniuratio coniurationis f	Verschwörung
detegere detego detexi detectum	entdecken, aufdecken
Iuppiter Iovis	Juppiter
convocare	zusammenrufen, einberufen
fere	etwa, beinahe
quo	wohin?, wohin
usque	bis, bis zu
quo usque?	wie weit?
quamdiu	wie lange?, solange wie
furor furoris m	Wüten, Tollheit
consilium i n	Plan, Rat, Absicht
quando?	wann?
insidiae arum f	Falle, Hinterhalt
certe	gewiss, sicher
conscribere conscribo conscripsi conscriptum	verfassen, einschreiben
deterrere	abschrecken
aperire aperio aperui apertum	öffnen, offen darlegen
coniuratus i m	Verschwörer
demonstrare	deutlich zeigen
inimicus i m	Gegner, Feind, feindlich
patere	offenstehen, sichtbar sein
scelus sceleris n	Verbrechen
sperare	hoffen
attentus a um	aufmerksam, wachsam
exilium i n	Exil, Verbannung
demum	endlich
promittere promitto promisi promissum	versprechen
pernicies ei f	Verderben, Untergang
oratio orationis f	Rede
eripere eripio eripui ereptum	entreissen, befreien
atque	und, und sogar
mons montis (ium) m	Berg
orationem habere	eine Rede halten
patres conscripti	meine Herren Senatoren
