mare maris n	Meer
internus a um	der innere
mare internum	das Mittelmeer
navis navis (ium) f	Schiff
infestus a um	bedrohlich, feindlich
bellare	Krieg führen
diripere diripio diripui direptum	plündern
gens gentis (ium) f	Volksstamm, vornehme Familie
miseria miseriae f	Elend
perditus a um	vernichtet, verzweifelt
primo	anfangs, zuerst
negotium i n	Geschäft, Handel
causa (+gen)	wegen
litus litoris n	Küste
portus us m	Hafen
audere audeo ausus sum	wagen
praesidium i n	Schutz
classis classis (ium) f	Flotte
mox	bald, sogleich
facultas facultatis f	Möglichkeit
deserere desero deserui desertum	verlassen
officium i n	Pflicht, Dienst
intermittere intermitto intermisi intermissum	einschieben, unterbrechen
monere	ermahnen
celeritas celeritatis f	Schnelligkeit
evadere evado evasi evasum	entkommen
potestas potestatis f	Macht, Gewalt
referre refero rettuli relatum	zurückbringen, berichten
indutsria ae f	Fleiss, Einsatz
providere (+akk)	vorhersehen
providere (+dat)	sorgen für
conficere cinficio confeci confectum	vollenden, erledigen, herstellen
mare infestum reddere	das Meer unsicher machen
se in potestatem fidemque dare	sich ergeben
gratiam referre	danken, Dank abstatten
impetum hostium providere	den Angriff der Feinde vorhersehen
saluti civium providere	für das Wohl der Bürger sorgen
honoris causa	ehrenhalber
