nobilis is e	berühmt, bekannt, adlig
mortalis e	sterblich, Sterblicher
immortalis e	unsterblich
dea ae f	Göttin
decem	zehn
fortis e	tapfer, stark
acer acris acre	scharf, schmerzlich, heftig
felix felicis	glücklich
infelix infelicis	unglücklich
mater matris f	Mutter
caedes caedis (ium) f	Mord, Blutbad
ingens ingentis	ungeheuer, riesig
fugere fugio fugi fugitum	fliehen
fugere (+akk)	vor jmdm fliehen, vermeiden
effugere	entfliehen, entkommen
celer celeris celere	schnell
omen ominis n	böses Vorzeichen, Vorzeichen
horribilis e	schrecklich
oraculum i n	Orakel
fama ae f	Gerücht, Sage
solvere solvo solvi solutum	lösen, einlösen
error, erroris m	Irrtum, Irrfahrt
detrimentum i n	Schaden, Verlust
pervenire	hinzukommen, gelangen
regina ae f	Königin
benevolentia ae f	Wohlwollen
recipere recipio recepi receptum	annehmen, aufnehmen
inquit	sagt er, sagte er
inquiunt	sagen sie, sagten sie
situs a um	gelegen, liegend
expellere	vertreiben
hic	hier
condere condo condidi conditum	gründen, verwahren, verstecken
occupare	besetzen, überfallen
occupatus a um	besetzt, beschäftigt
naves solvere	die Anker lichten, lossegeln
te salvere iubeo	ich begrüsse dich, ich heisse dich willkommen
