humanitas humanitatis f	Menschlichkeit, Humanität, Bildung
convivius i n	Gastmahl
tristis e	traurig
interitus us m	Untergang
longus a um	lang
amor amoris m	Liebe
insignis e	hervorragend, ausgezeichnet
incendere incendo incendi incensum	entzünden, entflammen
maritus i m	Ehemann, Gatte
commovere	innerlich bewegen, beeindrucken
pietas pietatis f	Frömmigkeit, Pflichtgefühl
erga (+akk)	gegen, gegenüber
numen numinis n	göttliche Macht, Gottheit
regnum i n	Reich
quin etiam	ja sogar
tristitia ae f	Trauer, Traurigkeit
omnis e	ganz
omnes omnes omnia	alle, alles
deicere deicio deieci deiectum	hinabwerfen
furutus a um	zukünftig
inferus a um	der untere
inferi orum m	Unterwelt
descendere descendo descendi	hinabsteigen
anima ae f	Seele
praedicere	vorhersagen, prophezeien
aureus a um	golden
instruere instruo instruxi instructum	ausrüsten, aufstellen
loca orum n	Orte, Gegend, Gelände
invenire	finden
pacare	unterwerfen, friedlich machen
memoriam fugere	dem Gedächtnis entfallen
spe deici	in der Hoffnung getäuscht werden
Carthagine	in Karthago, aus Karthago
