testamentum i n	Testament
privatus a um	privat, Privatmann
sumptus us m	Kosten, Aufwand
ut (+konj)	damit, dass, so dass
auctor auctoris m	Urheber, Anstifter
civilis e	bürgerlich, Bürger-
desiderium i n	Sehnsucht, Bedürfnis
dictatura ae f	Diktatur
offerre offero obtuli oblatum	anbieten
meritum i n	Verdienst
appellare	anrufen, nennen
praeter +(akk)	ausser
praeterea	ausserdem
deferre degero detuli delatum	hinbringen, übertragen
auctoritas auctoritatis f	Ansehen, Einfluss
princeps principis m	der erste, Anführer
praestare praesto praestiti (+dat)	voranstehen, übertreffen
praestare (+akk)	verrichten, zeigen
edictum i n	Edikt, Anordnung
vetare veto vetui vetitum	verbieten
ne (+konj)	damit nicht, dass nicht
odium i n	Hass
fieri fio factum est	werden, geschehen, gemacht werden
claudere claudo clausi clausum	schliessen
clades cladis (ium) f	Niederlage, Verlust
tres tres tria	drei
adeo	so sehr, derart
disponere	aufstellen, verteilen
Romae	in Rom
tumultus us m	Aufruhr, Tumult
edicere	anordnen
nefastus a um	unheilvoll, verboten
commode	angemessen, befriedigend
beatus a um	glücklich
lux lucis f	Licht
advenire	ankommen, kommen
perire	zugrunde gehen, untergehen
fit...ut (+konj)	es kommt vor...dass, es geschieht...dass
timeo...ne	ich fürchte...dass
domini appellatio	die Anrede "Herr"
se fortem praestare	sich tapfer zeigen
