dives divitis	reich
sors sortis (ium) f	Schicksal, Los
afficere (+abl)	erfüllen mit, versehen mit
prodere prodo prodidi proditum	überliefern, verraten
intendere intendo intendi intentum	anspannen
forma ae f	Gestalt, Figur
pulvis pulveris m f	Staub
scribere scribo scripsi scriptum	schreiben, zeichnen
quidam quaedam quoddam	jemand, irgendein, ein
quidam quaedam quaedam	einige
interficere	töten
dolere	bedauern, Schmerz empfinden
cura ae f	Sorge, Fürsorge, Pflege
quaestor quaestoris m	Quaestor
sepulcrum i n	Grab, Grabmal
omnino	ganz und gar, überhaupt
investigare	erkunden, erforschen, aufspüren
postea	später
aliquot	einige
versus us m	Vers
declarare	erklären, deutlich zeigen
summus a um	der höchste
talis e	solch ein, derartig
undique	von allen Seiten, ringsum
multum	viel, sehr
eminere emineo eminui	herausragen, hervorragen
purgare	säubern
aditus us m	Zugang
patefacere	öffnen, freimachen
accedere accedo accessi accessum	herangehen
discere disco didici	lernen, erfahren
docere doceo docui doctum	lehren, belehren
inuria affici	Unrecht erleiden
animum interndere in	sich konzentrieren auf
curam habere (+dat)	Sorge tragen für, sich kümmern um
facultatem dare	die Möglichkeit geben
in summo sepulcro	an der Spitze des Grabmals, oben auf...
