praecipue	besonders
adiuvare adiuvo adiuvi adiutum (+akk)	unterstützen, helfen
festus a um	festlich, Fest-
propitius a um	gnädig, geneigt
evenire	sich ereignen, ausgehen, enden
pecus pecoris n	Kleinvieh
calamitas calamitatis f	Unglück, Schaden
ignis ignis (ium) m	Feuer
focus i m	Herd
philosophia ae f	Philosophie
dedere dedo dedidi deditum	übergeben, (passiv) sich widmen
natura ae f	Natur
philosophus i m	Philosoph
regere rego rexi rectum	regieren, lenken
attribuere attribuo attribui attributum	zuteilen, zuweisen
censere censeo censui censum	meinen, beantragen, beschliessen
numquam	nie, niemals
praemium i n	Belohnung
ira ae f	Zorn
ullus a um (ius i)	irgendein
munus muneris n	Pflicht, Aufgabe, Geschenk
decet	es gehört sich
qui qua quod	ein, irgendein
voluptas voluptatis f	Freude, Vergnügen, Lust
obesse	hinderlich sein, schaden
maximus a um	der grösste, am grössten, sehr gross
verus a um	wahr, wahrhaft
sententia ae f	Meinung, Ausspruch
voluntas voluntatis f	Wille, Absicht
iustitia ae f	Gerechtigkeit
aestimare	hochschätzen, schätzen
pater familias	Familienvater, Hausherr
philosophiae deditus	der Philosophie ergeben
