ille illa illud	jener jene jenes
concurrere	zusammenlaufen
multitudo multitudinis f	Menge, Volksmenge
pes pedis m	Fuss
volvere volvo volvi volutum	wälzen, rollen
remedium i n	Heilmittel, Arznei
poscere posco poposci	fordern, verlangen
somnus i m	Schlaf
spargere spargo sparsi sparsum	streuen, besprengen
os oris n	Mund, Gesicht
ridere rideo risi risum	lachen
at	jedoch, andererseits
instare insto institi	bedrängen, zusetzen, bevorstehen
modo	gerade eben, nur
vanitas vanitatis f	Eitelkeit, Misserfolg
suadere suadeo suasi suasum	zuraten, raten, empfehlen
adducere	heranführen, veranlassen, bewegen
nondum	noch nicht
adhibere adhibeo adhibui adhibitum	anwenden, hinzuziehen
salubris e	heilsam
fortasse	vielleicht
cor cordis n	Herz
igitur	also, folglich
credere credo credidi creditum	glauben, anvertrauen
postulare	fordern
caecus a um	blind
ante pedes volvi	sich zu Füssen werfen
per somnum	im Traum
modo...modo	bald...bald
deis cordi est	es liegt den Göttern am Herzen
imperator ridere, negare	der Kaiser lachte, weigerte sich
