optare	wünschen
prosperus a um	günstig, erwünscht
epistula ae f	Brief
desinere desino desii	aufhören, ablassen
velle volo volui	wollen
idem eadem idem	derselbe dieselbe dasselbe
hic haec hoc	dieser diese dieses
imponere	einsetzen, auferlegen, setzen
vetus veteris	alt
nolle nolo nolui	nicht wollen
-nam	denn, bloss
secundum (+akk)	entlang, gemäss, nach
comprobare	gutheissen, zustimmen
ratio rationis f	Berechnung, Vernunft, Art und Weise
opinio, opinionis f	Meinung
contentio contentionis f	Anspannung, Bemühung, Streit
invidiosus a um	neidisch, beneidenswert
rectus a um	richtig
iudicare	urteilen, beurteilen
sordidus a um	schmutzig, gemein
fons fontis (ium) m	Quelle
perturbatio perturbationis f	Verwirrung
favor favoris m	Gunst, Zuneigung
turba ae f	Menge, Schar
plus	mehr
nimius a um	sehr gross, zu gross
tranquilitas tranquilitatis f	Ruhe, Frieden
servire	dienen, Sklave sein
servitus, servitutis f	Knechtschaft, Sklavendasein
pessimus a um	der schlechteste, der schlimmste
absolvere	befreien, freisprechen
absolutus a um	vollständig, uneingeschränkt
mos moris m	Sitte, Brauch
mores morum m	Charakter
adicere adicio adieci adiectum	hinzufügen
valere	gesund sein, stark sein, gelten
vale!	Lebewohl!, Auf Wiedersehen!
id agere...ut (+konj)	sich bemühen...dass, bestrebt sein...dass
multum posse	einen grossen Einfluss haben, eine grosse Rolle spielen
longe	bei weitem
noli servire!	diene nicht!
secundum flumen	den Fluss entlang, längs des Flusses
