queri queror questus sum	beklagen, sich beklagen
pati patior passus sum	leiden, erdulden
versari versor versatus sum	sich aufhalten
pauper pauperis	arm
admittere	zulassen
opes opum f	Reichtum, Macht
dormire	schlafen
inde	von dort, daher
transitus, us m	Durchgang, Durchfahrt, Verkehr
nox noctis (ium) f	Nacht
noctu	bei Nacht, nachts
angustus a um	eng
agmen agminis n	Zug, Heereszug
strepitus us m	Lärm
incendium i n	Brand
recordari recordor recordatus sum	sich erinnern
oriri orior ortus sum	entstehen, sich erheben
taberna ae f	Werkstatt, Gaststätte
flamma ae f	Flamme
materia ae f	Stoff, Materie
progredi progredior progressus sum	vorrücken, fortschreiten
cingere cingo cinxi cinctum	umgeben, umzingeln
aqua ae f	Wasser
velocitas velocitatis f	Schnelligkeit
auxiliari auxilior auxiliatus sum	helfen
conari conor conatus sum	versuchen
impedimentum i n	Hindernis
flectere flecto flexi flexum	biegen, beugen
magnitudo magnitudinis f	Grösse
sextus a um	der sechste
violentia ae f	Gewalt
vacuus a um	leer, frei, frei von
occurrere occuro occurri occursum	entgegentreten, bekämpfen
hic	hier
illic	dort
huc	hierhin
illuc	dorthin
Nerone imperatore	unter Neros Regierung, zu Neros Zeiten
ignem clamare	Feueralarm geben
magna ex parte	zum grossen Teil
impedimento esse	hinderlich sein, behindern
