viginti	zwanzig
quoque	auch
gratus a um	angenehm, gefällig, dankbar
ingratus a um	unangenehm, undankbar
frater fratris m	Bruder
adipisci adipiscor adeptus sum	erwerben, erlangen
experiri erperior expertus sum	versuchen, erproben
monasterium i n	Kloster
hortari hortor hortatus sum	ermahnen, auffordern
communis e	gemeinsam
cottidie	täglich
proficisci proficiscor profectus sum	aufbrechen, vorrücken
regula ae f	Regel, Richtschnur
monachus i m	Mönch
ordo ordinis m	Ordnung, Rang, Stand, Orden
mille	tausend
milia milium n	tausend
aestas aestatis f	Sommer
lectio lectionis f	Lesen, Lektüre
divinus a um	göttlich, heilig
vacare (+abl)	frei sein von
vacare (+dat)	frei sein für, Zeit haben für
mensa ae f	Tisch, Mahlzeit
recreari	sich erholen, ausruhen
silentium i n	Schweigen, Ruhe
vesper versperi m	Abend
hiems, hiemis f	Winter
senior senioris	älter
prior prius	der vordere, der frühere, der Abt
designare	bezeichnen, ernennen
circumire	umhergehen
forte	zufällig, etwa
utilis e	nützlich
inutilis e	unnütz
viginti annos natus	zwanzig Jahre alt
ex amico quaerere	den Freund fragen
te duce	unter deiner Führung
plus mille annos	mehr als tausend Jahre lang
milia	tausend, tausend Schritte
